,track_name,artist_name,album_name,artist_genres,track_popularity,artist_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo,prop_loudness,prop_speechiness,prop_instrumentalness,context_liveness,context_acousticness
1,Shape of You,Ed Sheeran,÷ (Deluxe),"['pop', 'uk pop']",84,96,0.825,0.931,0.652,95.977,-3.183,0.0802,0.0,0.0931,0.581
2,Symphony (feat. Zara Larsson),Clean Bandit,So Good,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']",0,81,0.718,0.497,0.609,122.95,-4.699,0.043,3.29e-05,0.234,0.281
3,Despacito (Featuring Daddy Yankee),Luis Fonsi,Despacito (Featuring Daddy Yankee),"['latin', 'latin pop', 'puerto rican pop']",0,80,0.66,0.846,0.786,177.833,-4.757,0.17,0.0,0.112,0.209
4,Too Good At Goodbyes,Sam Smith,The Thrill Of It All (Special Edition),"['dance pop', 'pop', 'uk pop']",78,86,0.681,0.476,0.372,91.873,-8.237,0.0432,0.0,0.169,0.64
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']",75,81,0.72,0.742,0.763,101.965,-4.068,0.0523,0.0,0.18,0.406
6,Havana (feat. Young Thug),Camila Cabello,Havana (feat. Young Thug),"['dance pop', 'pop', 'post-teen pop']",2,89,0.768,0.418,0.517,104.992,-4.323,0.0312,3.8e-05,0.104,0.186
7,Thunder,Imagine Dragons,Evolve,"['modern rock', 'rock']",1,93,0.6,0.298,0.81,167.88,-4.749,0.0479,0.21,0.155,0.00683
8,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,Red Pill Blues (Deluxe),"['pop', 'pop rock']",68,90,0.783,0.418,0.61,100.047,-6.124,0.0696,0.0,0.0983,0.343
9,Something Just Like This,The Chainsmokers,Memories...Do Not Open,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",82,86,0.617,0.446,0.635,103.019,-6.769,0.0317,1.44e-05,0.164,0.0498
10,Perfect,Ed Sheeran,÷ (Deluxe),"['pop', 'uk pop']",84,96,0.599,0.168,0.448,95.05,-6.312,0.0232,0.0,0.106,0.163
11,There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe),"['canadian pop', 'dance pop', 'pop', 'viral pop']",0,90,0.857,0.966,0.8,121.996,-4.035,0.0583,0.0,0.0913,0.381
12,All Night,The Vamps,Night & Day (Night Edition),"['boy band', 'dance pop', 'pop', 'post-teen pop']",73,75,0.538,0.507,0.804,144.992,-5.194,0.0358,0.0,0.33,0.0041
13,Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'pop', 'post-teen pop']",75,80,0.319,0.449,0.739,194.169,-5.74,0.272,0.0,0.111,0.0285
14,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,Dusk Till Dawn (feat. Sia) [Radio Edit],"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",77,81,0.259,0.0951,0.437,180.042,-6.589,0.0386,1.32e-06,0.106,0.102
15,No Lie,Sean Paul,Mad Love The Prequel,"['dance pop', 'dancehall', 'pop', 'pop rap']",83,85,0.742,0.463,0.882,102.04,-2.862,0.117,0.0,0.206,0.0466
16,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)","['dance pop', 'pop', 'post-teen pop']",76,76,0.664,0.742,0.708,103.07,-4.154,0.0474,0.0,0.0841,0.0337
17,Cold (feat. Future),Maroon 5,Red Pill Blues (Deluxe),"['pop', 'pop rock']",0,90,0.697,0.506,0.716,99.905,-6.288,0.113,0.0,0.0424,0.118
18,Attention,Charlie Puth,Attention,"['dance pop', 'pop', 'viral pop']",0,86,0.774,0.777,0.626,100.041,-4.432,0.0432,3.12e-05,0.0848,0.0969
19,Paris,The Chainsmokers,Memories...Do Not Open,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",73,86,0.653,0.219,0.658,99.99,-6.428,0.0304,1.66e-06,0.0939,0.0215
20,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,Pretty Girl (Cheat Codes X CADE Remix),"['alt z', 'dance pop', 'dark pop', 'pop', 'post-teen pop']",60,70,0.703,0.733,0.868,121.03,-4.661,0.0291,0.132,0.104,0.15
21,Say You Won't Let Go,James Arthur,Back from the Edge,"['pop', 'talent show', 'uk pop']",83,83,0.358,0.494,0.557,85.043,-7.398,0.059,0.0,0.0902,0.695
22,That's What I Like,Bruno Mars,24K Magic,"['dance pop', 'pop']",82,92,0.853,0.86,0.56,134.066,-4.961,0.0406,0.0,0.0944,0.013
23,Mercy,Shawn Mendes,Illuminate (Deluxe),"['canadian pop', 'dance pop', 'pop', 'viral pop']",0,90,0.561,0.383,0.674,148.127,-4.882,0.0818,0.0,0.111,0.118
24,New Rules,Dua Lipa,Dua Lipa (Deluxe),"['dance pop', 'pop', 'uk pop']",60,94,0.763,0.592,0.72,116.01,-5.181,0.0691,1.11e-05,0.114,0.00261
25,Stay,Zedd,Stay,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']",75,80,0.69,0.544,0.622,102.04,-5.025,0.0622,0.0,0.116,0.253
