Rank,track_name,artist_name,album_name,artist_genres,track_popularity,artist_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo,prop_loudness,prop_speechiness,prop_instrumentalness,context_liveness,context_acousticness
1,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,"['dance pop', 'pop']",77,92,0.635,0.424,0.841,109.021,-5.379,0.0422,0.0,0.0622,0.0134
2,Love The Way You Lie,Eminem,Recovery,"['detroit hip hop', 'hip hop', 'rap']",81,95,0.749,0.641,0.925,86.989,-5.034,0.227,0.0,0.52,0.241
3,Bad Romance,Lady Gaga,The Fame Monster (Deluxe Edition),"['art pop', 'dance pop', 'pop']",80,88,0.696,0.714,0.921,119.001,-3.755,0.0363,5.24e-05,0.0842,0.00314
4,Alors on danse - Radio Edit,Stromae,Cheese,"['belgian pop', 'g-house']",77,80,0.791,0.714,0.59,119.951,-9.206,0.0793,0.00203,0.065,0.0994
5,TiK ToK,Kesha,Animal (Expanded Edition),"['dance pop', 'electropop', 'pop', 'post-teen pop']",80,82,0.755,0.714,0.837,120.028,-2.718,0.142,0.0,0.289,0.0991
6,Memories (feat. Kid Cudi),David Guetta,One More Love,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",75,91,0.546,0.375,0.916,129.983,-3.932,0.255,4.34e-06,0.251,0.00144
7,Dynamite,Taio Cruz,The Rokstarr Hits Collection,"['dance pop', 'pop', 'pop rap']",79,74,0.751,0.816,0.783,119.975,-3.724,0.0859,0.0,0.036,0.00379
8,Only Girl (In The World),Rihanna,Loud,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",72,92,0.789,0.611,0.716,125.906,-4.241,0.0432,1.07e-05,0.069,0.129
9,California Gurls,Katy Perry,Teenage Dream: The Complete Confection,"['dance pop', 'pop', 'post-teen pop']",72,88,0.791,0.425,0.754,125.014,-3.729,0.0569,0.0,0.163,0.00446
10,Eenie Meenie,Sean Kingston,Eenie Meenie,"['dance pop', 'miami hip hop', 'pop', 'post-teen pop', 'urban contemporary']",74,75,0.72,0.828,0.607,121.223,-4.168,0.0322,0.0,0.113,0.0543
11,Cooler Than Me - Single Mix,Mike Posner,31 Minutes to Takeoff,"['dance pop', 'edm', 'pop', 'pop rap', 'pop rock']",75,75,0.768,0.625,0.82,129.965,-4.63,0.0474,0.0,0.689,0.179
12,Down,Jay Sean,All Or Nothing,"['dance pop', 'pop rap', 'post-teen pop', 'urban contemporary']",3,70,0.657,0.683,0.695,65.997,-4.493,0.0321,0.0,0.0822,0.0108
13,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,Raymond v Raymond (Expanded Edition),"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",78,83,0.663,0.654,0.861,119.963,-3.398,0.109,0.0,0.082,0.0338
14,Talking to the Moon,Bruno Mars,Doo-Wops & Hooligans,"['dance pop', 'pop']",76,92,0.498,0.0784,0.59,145.867,-4.721,0.032,0.0,0.107,0.511
15,Replay,Iyaz,Replay,"['dance pop', 'pop rap']",75,69,0.706,0.195,0.751,91.031,-6.323,0.0708,0.0,0.168,0.173
16,Airplanes (feat. Hayley Williams of Paramore),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'pop rock', 'rap', 'southern hip hop']",74,77,0.66,0.377,0.867,93.033,-4.285,0.116,0.0,0.0368,0.11
17,Baby,Justin Bieber,My World 2.0,"['canadian pop', 'pop']",81,96,0.728,0.535,0.859,65.043,-5.237,0.137,0.0,0.111,0.0401
18,Misery,Maroon 5,Hands All Over (Revised International Standard version),"['pop', 'pop rock']",67,90,0.703,0.726,0.81,102.978,-4.874,0.0424,0.0,0.216,0.000315
19,Teenage Dream,Katy Perry,Teenage Dream,"['dance pop', 'pop', 'post-teen pop']",68,88,0.719,0.591,0.798,120.011,-4.582,0.0361,2.34e-06,0.134,0.0162
20,Club Can't Handle Me (feat. David Guetta),Flo Rida,Only One Flo (Part 1),"['dance pop', 'miami hip hop', 'pop', 'pop rap']",75,83,0.616,0.473,0.869,127.966,-3.911,0.0327,0.0,0.064,0.0283
21,Ridin' Solo,Jason Derulo,Jason Derulo (International),"['dance pop', 'pop', 'pop rap', 'post-teen pop']",66,85,0.442,0.578,0.83,89.338,-4.02,0.146,0.0,0.129,0.128
22,Break Your Heart,Taio Cruz,The Rokstarr Hits Collection,"['dance pop', 'pop', 'pop rap']",74,74,0.607,0.568,0.934,122.01,-4.217,0.0314,0.0,0.0909,0.0327
23,Mine,Taylor Swift,Speak Now (Deluxe Package),['pop'],63,98,0.621,0.672,0.78,121.038,-2.934,0.0297,4.55e-06,0.184,0.00327
24,Billionaire (feat. Bruno Mars),Travie McCoy,Billionaire (feat. Bruno Mars),"['dance pop', 'pop rap']",71,67,0.633,0.659,0.673,86.776,-6.403,0.258,0.0,0.206,0.297
25,Nothin' on You (feat. Bruno Mars),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'pop rock', 'rap', 'southern hip hop']",74,77,0.688,0.743,0.853,103.993,-5.814,0.0493,0.0,0.0862,0.386
26,What's My Name?,Rihanna,Loud,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",66,92,0.692,0.583,0.786,100.025,-2.959,0.069,0.0,0.0797,0.23
27,Whatcha Say,Jason Derulo,Jason Derulo (International),"['dance pop', 'pop', 'pop rap', 'post-teen pop']",70,85,0.615,0.711,0.711,144.036,-5.507,0.0779,0.0,0.145,0.0444
28,Like A G6,Far East Movement,Free Wired,"['asian american hip hop', 'dance pop', 'pop rap']",73,70,0.435,0.778,0.837,124.913,-8.126,0.449,0.0,0.117,0.00676
29,Your Love Is My Drug,Kesha,Animal (Expanded Edition),"['dance pop', 'electropop', 'pop', 'post-teen pop']",69,82,0.826,0.756,0.612,120.057,-3.891,0.0982,0.0,0.0889,0.00681
