,Rank,track_popularity,context_liveness,context_acousticness
0,1,77,0.0622,0.0134
1,2,81,0.52,0.241
2,3,80,0.0842,0.00314
3,4,77,0.065,0.0994
4,5,80,0.289,0.0991
5,6,75,0.251,0.00144
6,7,79,0.036,0.00379
7,8,72,0.069,0.129
8,9,72,0.163,0.00446
9,10,74,0.113,0.0543
10,11,75,0.689,0.179
11,12,3,0.0822,0.0108
12,13,78,0.082,0.0338
13,14,76,0.107,0.511
14,15,75,0.168,0.173
15,16,74,0.0368,0.11
16,17,81,0.111,0.0401
17,18,67,0.216,0.000315
18,19,68,0.134,0.0162
19,20,75,0.064,0.0283
20,21,66,0.129,0.128
21,22,74,0.0909,0.0327
22,23,63,0.184,0.00327
23,24,71,0.206,0.297
24,25,74,0.0862,0.386
25,26,66,0.0797,0.23
26,27,70,0.145,0.0444
27,28,73,0.117,0.00676
28,29,69,0.0889,0.00681
29,30,81,0.0826,0.185
30,31,78,0.118,0.0275
31,32,72,0.36,0.198
32,33,72,0.12,0.0421
33,34,65,0.348,0.0266
34,35,57,0.159,0.134
35,36,67,0.1,0.541
36,37,61,0.264,0.049
37,38,68,0.0605,0.00481
38,39,2,0.102,0.0242
39,40,69,0.112,0.00521
40,41,65,0.334,0.117
41,42,64,0.378,0.00034
42,43,18,0.0789,0.352
43,44,74,0.0788,0.113
44,45,52,0.378,0.000431
45,46,34,0.125,0.385
46,47,63,0.392,0.255
47,48,65,0.347,0.0127
48,49,63,0.0594,0.021
49,50,0,0.385,0.0205
50,51,0,0.0715,0.00713
51,52,61,0.307,0.179
52,53,68,0.0867,4.14e-05
53,54,57,0.241,0.00544
54,55,70,0.191,0.102
55,56,78,0.205,0.529
56,57,64,0.275,0.348
57,58,62,0.36,0.00564
58,59,66,0.104,0.0339
59,60,55,0.0286,0.0209
60,61,62,0.358,0.00374
61,62,68,0.0787,0.0324
62,63,57,0.238,0.13
63,64,67,0.0505,0.329
64,65,69,0.256,0.114
65,66,0,0.0403,0.0868
66,67,60,0.103,0.0376
67,68,31,0.207,0.00153
68,69,67,0.375,0.000397
69,70,56,0.0583,0.0055
70,71,50,0.167,0.0307
71,72,0,0.196,0.0287
72,73,50,0.161,0.014
73,74,57,0.219,0.0613
74,75,71,0.118,0.74
75,76,72,0.243,0.0298
76,77,65,0.0939,0.2
77,78,54,0.833,0.00453
78,79,46,0.313,0.0198
79,80,65,0.211,0.417
80,81,51,0.343,0.0273
81,82,60,0.424,0.0843
82,83,62,0.106,0.435
83,84,59,0.362,0.0173
84,85,57,0.124,0.0109
85,86,0,0.0966,0.0743
86,87,53,0.143,0.0281
87,88,69,0.602,0.0662
88,89,60,0.0574,0.461
89,90,60,0.107,0.000176
90,91,0,0.0921,0.000665
91,92,54,0.402,0.00237
92,93,68,0.483,0.172
93,94,57,0.122,0.0378
94,95,62,0.0773,0.178
95,96,54,0.324,0.135
96,97,68,0.578,0.0435
97,98,41,0.431,0.0798
98,99,57,0.277,0.209
99,100,68,0.0491,0.0436
100,1,2,0.0473,0.138
101,2,76,0.315,0.0117
102,3,72,0.265,0.0206
103,4,72,0.113,0.141
104,5,77,0.107,0.148
105,6,81,0.267,0.0319
106,7,79,0.0691,0.105
107,8,79,0.0741,0.0761
108,9,74,0.671,0.00125
109,10,77,0.108,0.0319
110,11,1,0.601,0.269
111,12,81,0.298,0.191
112,13,75,0.108,0.025
113,14,74,0.14,0.00472
114,15,71,0.0458,0.00377
115,16,75,0.104,0.332
116,17,75,0.149,0.0843
117,18,70,0.0385,0.0191
118,19,72,0.104,0.0113
119,20,73,0.272,0.0294
120,21,69,0.157,0.227
121,22,75,0.105,0.186
122,23,75,0.029,0.0048
123,24,70,0.104,0.0165
124,25,66,0.0797,0.23
125,26,72,0.259,0.055
126,27,68,0.0894,0.143
127,28,0,0.143,0.0218
128,29,72,0.331,0.00327
129,30,71,0.117,0.00987
130,31,2,0.112,0.00408
131,32,82,0.0833,0.0509
132,33,65,0.369,0.0181
133,34,49,0.604,0.0848
134,35,61,0.267,0.181
135,36,73,0.163,0.0764
136,37,68,0.0934,0.000369
137,38,60,0.36,0.0422
138,39,66,0.109,0.000323
139,40,75,0.0955,0.3
140,41,62,0.187,0.00646
141,42,66,0.348,0.00166
142,43,69,0.073,0.00334
143,44,72,0.132,0.0771
144,45,4,0.0996,0.893
145,46,68,0.119,0.352
146,47,71,0.13,0.562
147,48,66,0.332,0.00379
148,49,70,0.11,0.309
149,50,75,0.176,0.0796
150,51,61,0.156,0.0048
151,52,67,0.0851,0.203
152,53,65,0.202,0.0228
153,54,64,0.275,0.348
154,55,62,0.116,0.0294
155,56,71,0.259,0.0434
156,57,79,0.161,0.00847
157,58,62,0.134,0.02
158,59,60,0.0765,0.14
159,60,77,0.191,0.0267
160,61,74,0.18,0.669
161,62,57,0.364,0.0491
162,63,67,0.191,0.1
163,64,75,0.241,0.00544
164,65,71,0.12,0.726
165,66,70,0.155,0.0189
166,67,65,0.0759,0.0144
167,68,61,0.276,0.109
168,69,82,0.0956,0.145
169,70,69,0.3,0.158
170,71,53,0.0843,0.0658
171,72,63,0.0998,0.446
172,73,0,0.108,0.000177
173,74,62,0.664,0.0334
174,75,48,0.283,0.0887
175,76,42,0.0948,0.00548
176,77,69,0.171,0.00194
177,78,38,0.223,0.336
178,79,55,0.483,0.0184
179,80,48,0.145,0.078
180,81,74,0.0917,0.365
181,82,71,0.111,0.0369
182,83,59,0.24,0.087
183,84,51,0.0845,0.0192
184,85,71,0.144,0.0339
185,86,64,0.146,0.229
186,87,65,0.0757,0.0346
187,88,62,0.105,0.0104
188,89,75,0.271,0.0646
189,90,68,0.0826,0.0597
190,91,70,0.118,0.952
191,92,76,0.0658,0.0182
192,93,70,0.306,0.0869
193,94,60,0.111,0.82
194,95,71,0.185,0.1
195,96,64,0.105,0.187
196,97,62,0.0914,0.0524
197,98,50,0.121,0.00167
198,99,65,0.0404,0.000102
199,100,61,0.391,0.119
200,1,75,0.108,0.025
201,2,78,0.108,0.0114
202,3,75,0.0849,0.02
203,4,82,0.287,0.0188
204,5,72,0.2,0.000802
205,6,82,0.0596,0.009
206,7,85,0.309,0.049
207,8,0,0.125,0.015
208,9,75,0.251,0.135
209,10,77,0.371,0.0239
210,11,71,0.144,0.23
211,12,59,0.0335,0.00454
212,13,77,0.215,0.00498
213,14,0,0.0969,0.0629
214,15,73,0.0744,0.000417
215,16,79,0.204,0.000972
216,17,63,0.126,0.0358
217,18,74,0.121,0.00957
218,19,77,0.0922,0.0884
219,20,74,0.112,0.046
220,21,73,0.082,0.337
221,22,79,0.313,0.00301
222,23,66,0.473,0.0662
223,24,74,0.0418,0.0117
224,25,82,0.0833,0.0509
225,26,76,0.262,0.0991
226,27,73,0.0844,0.0558
227,28,70,0.223,0.00201
228,29,74,0.335,0.0124
229,30,76,0.0801,0.00107
230,31,76,0.0944,0.00144
231,32,76,0.105,0.135
232,33,50,0.108,0.0142
233,34,0,0.285,0.000673
234,35,67,0.361,0.0811
