,Rank,track_popularity,prop_loudness,prop_speechiness,prop_instrumentalness
0,1,77,-5.379,0.0422,0.0
1,2,81,-5.034,0.227,0.0
2,3,80,-3.755,0.0363,5.24e-05
3,4,77,-9.206,0.0793,0.00203
4,5,80,-2.718,0.142,0.0
5,6,75,-3.932,0.255,4.34e-06
6,7,79,-3.724,0.0859,0.0
7,8,72,-4.241,0.0432,1.07e-05
8,9,72,-3.729,0.0569,0.0
9,10,74,-4.168,0.0322,0.0
10,11,75,-4.63,0.0474,0.0
11,12,3,-4.493,0.0321,0.0
12,13,78,-3.398,0.109,0.0
13,14,76,-4.721,0.032,0.0
14,15,75,-6.323,0.0708,0.0
15,16,74,-4.285,0.116,0.0
16,17,81,-5.237,0.137,0.0
17,18,67,-4.874,0.0424,0.0
18,19,68,-4.582,0.0361,2.34e-06
19,20,75,-3.911,0.0327,0.0
20,21,66,-4.02,0.146,0.0
21,22,74,-4.217,0.0314,0.0
22,23,63,-2.934,0.0297,4.55e-06
23,24,71,-6.403,0.258,0.0
24,25,74,-5.814,0.0493,0.0
25,26,66,-2.959,0.069,0.0
26,27,70,-5.507,0.0779,0.0
27,28,73,-8.126,0.449,0.0
28,29,69,-3.891,0.0982,0.0
29,30,81,-4.44,0.0431,0.0
30,31,78,-6.797,0.0439,0.0
31,32,72,-5.81,0.0332,1.14e-05
32,33,72,-6.161,0.0305,0.0
33,34,65,-4.15,0.033,0.0
34,35,57,-3.682,0.0649,0.0
35,36,67,-5.455,0.0818,0.000176
36,37,61,-3.292,0.0341,6.81e-06
37,38,68,-7.371,0.0393,0.0
38,39,2,-4.892,0.0644,0.0
39,40,69,-5.903,0.0404,0.000817
40,41,65,-4.663,0.0303,0.0
41,42,64,-5.576,0.0437,0.0
42,43,18,-5.022,0.0563,0.0
43,44,74,-4.496,0.127,0.0
44,45,52,-4.157,0.0451,0.0
45,46,34,-3.631,0.0343,0.0
46,47,63,-0.74,0.147,0.0
47,48,65,-4.11,0.343,0.0
48,49,63,-2.881,0.0878,0.0
49,50,0,-5.283,0.161,0.0
50,51,0,-6.365,0.112,0.0
51,52,61,-6.963,0.365,0.0
52,53,68,-5.292,0.0286,0.00126
53,54,57,-6.366,0.0391,0.0
54,55,70,-6.163,0.295,0.0
55,56,78,-1.19,0.264,0.0
56,57,64,-6.611,0.0277,0.0
57,58,62,-4.166,0.0804,0.0
58,59,66,-4.769,0.0275,0.0
59,60,55,-6.005,0.173,0.0
60,61,62,-4.455,0.0573,0.0
61,62,68,-5.109,0.11,0.0
62,63,57,-6.416,0.0729,0.0
63,64,67,-4.764,0.0568,0.0
64,65,69,-6.693,0.113,0.0308
65,66,0,-2.552,0.0401,0.0
66,67,60,-4.034,0.0337,0.0
67,68,31,-6.086,0.0712,0.0
68,69,67,-6.63,0.0462,0.0015
69,70,56,-4.706,0.0429,0.0
70,71,50,-4.5,0.0319,5.72e-06
71,72,0,-2.919,0.144,0.0
72,73,50,-3.616,0.189,0.0
73,74,57,-4.188,0.0981,0.0
74,75,71,-7.784,0.0341,3.82e-05
75,76,72,-4.433,0.0318,0.000186
76,77,65,-4.981,0.141,9.43e-05
77,78,54,-3.614,0.113,0.0
78,79,46,-5.521,0.0343,5.26e-06
79,80,65,-3.214,0.0693,0.0
80,81,51,-2.948,0.0397,0.0
81,82,60,-3.173,0.115,0.000425
82,83,62,-9.327,0.0251,0.000117
83,84,59,-3.859,0.138,8.46e-06
84,85,57,-5.611,0.279,0.0
85,86,0,-4.663,0.0349,0.225
86,87,53,-3.261,0.296,0.0
87,88,69,-7.798,0.0664,2.77e-06
88,89,60,-4.172,0.0351,0.0
89,90,60,-4.262,0.0286,0.0
90,91,0,-4.003,0.0407,7.74e-06
91,92,54,-5.89,0.0674,1.11e-05
92,93,68,-6.782,0.378,0.0
93,94,57,-6.077,0.044,1.43e-06
94,95,62,-5.077,0.0816,0.0
95,96,54,-5.346,0.0389,1.42e-05
96,97,68,-4.348,0.356,0.0
97,98,41,-6.079,0.28,0.441
98,99,57,-6.99,0.131,5.32e-06
99,100,68,-4.024,0.177,0.0
100,1,2,-5.114,0.0298,0.0
101,2,76,-4.459,0.0475,0.0
102,3,72,-4.168,0.156,0.0
103,4,72,-5.039,0.049,0.0
104,5,77,-7.273,0.0542,0.0
105,6,81,-3.293,0.0976,0.0
106,7,79,-5.194,0.0496,0.000478
107,8,79,-3.87,0.0469,0.0
108,9,74,-3.796,0.0415,4.31e-05
109,10,77,-3.873,0.0639,0.0
110,11,1,-4.339,0.209,5.11e-06
111,12,81,-3.206,0.161,0.0
112,13,75,-4.485,0.0383,0.00138
113,14,74,-3.689,0.0548,0.0127
114,15,71,-4.733,0.116,0.0
115,16,75,-4.865,0.0367,0.0
116,17,75,-2.915,0.0479,0.0
117,18,70,-2.944,0.0535,6.71e-06
118,19,72,-5.02,0.042,0.00016
119,20,73,-3.945,0.182,3.85e-06
120,21,69,-3.727,0.0285,4.06e-06
121,22,75,-8.685,0.179,0.0
122,23,75,-5.006,0.0838,0.0
123,24,70,-4.736,0.0605,0.0
124,25,66,-2.959,0.069,0.0
125,26,72,-3.078,0.0414,0.0
126,27,68,-4.062,0.0324,1.57e-05
127,28,0,-4.152,0.0468,0.000283
128,29,72,-5.108,0.161,0.0
129,30,71,-4.9,0.0407,0.00167
130,31,2,-3.882,0.0249,1.66e-06
131,32,82,-6.761,0.0268,8.75e-05
132,33,65,-5.252,0.175,0.0
133,34,49,-5.248,0.0886,0.0
134,35,61,-6.115,0.0461,0.0
135,36,73,-4.977,0.119,0.0
136,37,68,-3.201,0.0445,1.16e-06
137,38,60,-4.788,0.0373,0.0
138,39,66,-6.477,0.041,0.0162
139,40,75,-5.124,0.0699,0.0
140,41,62,-6.096,0.0262,0.000108
141,42,66,-2.628,0.0543,0.0
142,43,69,-3.862,0.0392,5.66e-05
143,44,72,-7.804,0.052,0.0
144,45,4,-8.251,0.028,0.0
145,46,68,-8.327,0.245,0.0
146,47,71,-8.48,0.0992,0.0
147,48,66,-6.55,0.0414,3.8e-06
148,49,70,-7.445,0.0267,0.000961
149,50,75,-3.284,0.0717,1.71e-05
150,51,61,-5.069,0.0721,3.4e-05
151,52,67,-5.004,0.246,0.0
152,53,65,-5.747,0.0665,0.0
153,54,64,-6.611,0.0277,0.0
154,55,62,-3.982,0.0523,3.58e-06
155,56,71,-3.428,0.0884,0.0
156,57,79,-5.835,0.0439,0.0
157,58,62,-4.861,0.0652,0.0
158,59,60,-3.951,0.0581,0.0
159,60,77,-8.127,0.1,0.000307
160,61,74,-9.918,0.0367,0.0
161,62,57,-3.672,0.049,0.0
162,63,67,-4.225,0.316,0.0
163,64,75,-6.366,0.0391,0.0
164,65,71,-6.142,0.0316,0.0
165,66,70,-3.839,0.115,0.0
166,67,65,-7.598,0.0474,0.0
167,68,61,-3.966,0.1,0.0
168,69,82,-5.849,0.0292,0.115
169,70,69,-1.921,0.193,0.0
170,71,53,-6.366,0.161,0.00431
171,72,63,-5.826,0.0307,0.0
172,73,0,-6.093,0.0418,5.23e-06
173,74,62,-2.125,0.0399,0.493
174,75,48,-4.372,0.146,0.0
175,76,42,-3.78,0.041,0.00162
176,77,69,-6.883,0.0396,0.0103
177,78,38,-5.522,0.0434,0.0
178,79,55,-1.131,0.0464,0.00792
179,80,48,-2.914,0.24,0.0
180,81,74,-7.16,0.106,0.000353
181,82,71,-7.783,0.114,0.0
182,83,59,-4.689,0.0806,0.0
183,84,51,-5.737,0.0395,0.00118
184,85,71,-6.128,0.184,5.51e-06
185,86,64,-6.427,0.0304,0.0
186,87,65,-3.896,0.0322,0.0186
187,88,62,-4.168,0.0358,0.0
188,89,75,-4.524,0.0675,0.0
189,90,68,-5.636,0.03,0.00137
190,91,70,-8.485,0.051,0.00106
191,92,76,-5.399,0.0393,1.4e-06
192,93,70,-4.521,0.452,0.0
193,94,60,-9.217,0.0334,0.000215
194,95,71,-5.935,0.0255,9.77e-05
195,96,64,-5.589,0.0418,0.000123
196,97,62,-5.473,0.192,0.0
197,98,50,-5.131,0.0385,1.49e-06
198,99,65,-3.541,0.0489,1.89e-05
199,100,61,-7.094,0.118,0.0
200,1,75,-4.485,0.0383,0.00138
201,2,78,-6.548,0.0408,2.28e-06
202,3,75,-5.576,0.075,7.66e-05
203,4,82,-4.813,0.0414,0.0
204,5,72,-4.023,0.0353,0.0
205,6,82,-2.494,0.0737,0.0
206,7,85,-4.165,0.0431,0.0
207,8,0,-3.689,0.0565,0.0
208,9,75,-2.457,0.075,0.0
209,10,77,-4.269,0.14,6.98e-06
210,11,71,-3.218,0.0487,0.0
211,12,59,-6.798,0.0363,2.25e-06
212,13,77,-4.805,0.046,0.000125
213,14,0,-2.063,0.0543,0.0
214,15,73,-4.63,0.0355,0.0
215,16,79,-2.842,0.031,0.00703
216,17,63,-6.019,0.0519,0.00198
217,18,74,-5.911,0.0916,2.65e-05
218,19,77,-2.671,0.0337,0.0
219,20,74,-4.282,0.0475,0.0
220,21,73,-6.826,0.0486,0.0
221,22,79,-3.906,0.0586,0.0
222,23,66,-2.963,0.076,0.0
223,24,74,-4.568,0.034,0.0
224,25,82,-6.761,0.0268,8.75e-05
225,26,76,-5.324,0.0554,0.0
226,27,73,-3.435,0.0314,0.0
227,28,70,-6.34,0.0916,0.0204
228,29,74,-3.035,0.0499,0.0
229,30,76,-3.113,0.032,1.06e-05
230,31,76,-7.079,0.03,0.0
231,32,76,-5.762,0.0607,0.00106
232,33,50,-4.696,0.0506,0.0
233,34,0,-3.141,0.127,0.000556
234,35,67,-3.382,0.1,0.0
235,36,79,-3.674,0.103,0.15
236,37,68,-6.63,0.0414,0.0
237,38,74,-4.92,0.0461,0.0
238,39,76,-3.145,0.0509,0.0
239,40,78,-4.343,0.0564,0.0
240,41,77,-5.746,0.0453,0.0
241,42,64,-2.732,0.0585,3.82e-06
242,43,69,-6.628,0.0393,0.0
243,44,56,-6.896,0.0358,0.000168
244,45,68,-6.209,0.0965,0.0
245,46,63,-3.686,0.0609,4.09e-06
246,47,0,-5.014,0.0445,0.0
247,48,1,-11.716,0.0329,0.0
248,49,68,-5.961,0.038,0.0
249,50,51,-2.686,0.0296,1.34e-05
250,51,74,-5.456,0.167,9.45e-05
251,52,70,-5.208,0.0693,5.3e-06
252,53,75,-10.358,0.265,1.22e-05
253,54,63,-4.892,0.226,0.000503
254,55,65,-5.099,0.0367,2.64e-06
255,56,70,-7.445,0.0267,0.000961
256,57,74,-5.589,0.146,3.59e-06
257,58,66,-2.954,0.0439,0.0
258,59,75,-4.782,0.0933,0.0
259,60,77,-6.425,0.137,0.0
260,61,0,-5.448,0.0963,0.00144
261,62,67,-4.592,0.0544,0.0
262,63,70,-7.045,0.0506,6.75e-05
263,64,65,-2.266,0.0591,0.0
264,65,66,-5.18,0.0973,0.0
265,66,47,-3.94,0.0833,0.0
266,67,68,-2.664,0.0478,0.000278
267,68,70,-4.748,0.0372,0.0
268,69,75,-4.444,0.0688,0.00286
269,70,63,-5.792,0.102,2.22e-06
270,71,0,-6.298,0.041,0.0223
271,72,61,-4.289,0.0513,0.0
272,73,0,-2.632,0.206,0.0
273,74,0,-5.242,0.0696,2.79e-06
274,75,74,-9.182,0.0301,0.0
275,76,77,-5.941,0.0343,0.828
276,77,67,-3.85,0.0482,0.00412
277,78,74,-6.864,0.0282,0.0
278,79,62,-6.17,0.0367,0.0391
279,80,62,-5.197,0.051,0.0
280,81,62,-3.446,0.0445,0.0
281,82,70,-10.058,0.0429,0.0
282,83,65,-2.932,0.0595,0.00771
283,84,66,-6.221,0.0347,0.015
284,85,68,-5.857,0.0318,0.0
285,86,57,-6.04,0.0307,1.56e-05
286,87,64,-5.02,0.14,0.0
287,88,57,-1.569,0.0431,0.00058
288,89,72,-2.871,0.286,0.0
289,90,60,-5.121,0.0368,0.000108
290,91,0,-4.55,0.0692,0.0
291,92,63,-2.569,0.0429,0.0
292,93,45,-3.443,0.0479,0.0
293,94,56,-9.676,0.0299,1.14e-06
294,95,67,-4.225,0.316,0.0
295,96,0,-6.245,0.0805,1.91e-06
296,97,66,-2.634,0.0655,7.82e-06
297,98,65,-7.186,0.0249,3.87e-06
298,99,63,-6.578,0.054,0.0
299,100,55,-4.87,0.131,0.0
300,1,77,-9.504,0.122,0.0
301,2,55,-7.707,0.0489,1.78e-05
302,3,76,-3.686,0.0627,0.000108
303,4,6,-5.697,0.0523,0.0012
304,5,85,-4.165,0.0431,0.0
305,6,1,-6.985,0.293,0.0
306,7,83,-8.966,0.038,1.07e-06
307,8,72,-4.831,0.0593,5.27e-05
308,9,79,-4.802,0.104,0.0
309,10,76,-2.986,0.0465,0.0
310,11,79,-3.763,0.044,0.0
311,12,77,-3.632,0.158,0.0
312,13,76,-6.798,0.0363,2.25e-06
313,14,89,-2.81,0.0336,0.0177
314,15,71,-4.76,0.311,0.0
315,16,77,-6.664,0.0503,0.0
316,17,0,-4.813,0.0387,0.0
317,18,0,-3.464,0.0753,0.0
318,19,68,-6.561,0.0376,0.0013
319,20,72,-3.835,0.0509,3.84e-05
320,21,74,-6.383,0.0407,0.0
321,22,0,-4.829,0.0309,0.0173
322,23,0,-7.444,0.0939,0.0
323,24,84,-6.478,0.0368,1.13e-05
324,25,77,-5.794,0.0334,0.0
325,26,81,-4.457,0.0786,0.0
326,27,50,-3.939,0.1,0.0
327,28,65,-3.208,0.113,0.0
328,29,78,-5.28,0.0431,7.24e-05
329,30,75,-3.68,0.0715,0.0
330,31,0,-3.084,0.101,0.0
331,32,78,-6.849,0.0696,8.96e-05
332,33,58,-4.399,0.0316,0.0
333,34,72,-4.821,0.0418,6.6e-06
334,35,68,-2.671,0.0284,1.64e-05
335,36,66,-6.755,0.0287,3.89e-06
336,37,83,-8.648,0.0434,0.0
337,38,88,-8.532,0.04,1.65e-05
338,39,70,-5.031,0.0432,0.0
339,40,68,-6.096,0.0584,7.66e-05
340,41,72,-3.681,0.0921,4.41e-05
341,42,66,-5.473,0.0269,0.0
342,43,80,-3.015,0.0321,0.00025
343,44,79,-5.177,0.032,0.0
344,45,69,-4.1,0.0517,0.00021
345,46,72,-5.791,0.0558,6.53e-06
346,47,76,-7.079,0.03,0.0
347,48,77,-6.262,0.0342,0.0
348,49,60,-6.028,0.0457,0.0
349,50,75,-10.164,0.0283,6.12e-05
350,51,65,-3.121,0.071,0.0
351,52,68,-1.702,0.0533,0.0
352,53,61,-4.751,0.0581,0.0
353,54,70,-5.066,0.0483,0.0
354,55,56,-7.321,0.232,0.0
355,56,73,-4.814,0.0441,0.000596
