"","track_name","artist_name","album_name","artist_genres","track_popularity","artist_popularity","mood_danceability","mood_valence","mood_energy","mood_tempo","prop_loudness","prop_speechiness","prop_instrumentalness","context_liveness","context_acousticness"
"1","Royals","Lorde","Pure Heroine","['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop']","77","82","0.674","0.337","0.428","84.878","-9.504","0.122","0.0","0.132","0.121"
"2","Blurred Lines","Robin Thicke","Blurred Lines","['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']","55","69","0.861","0.881","0.504","120.0","-7.707","0.0489","1.78e-05","0.0783","0.00412"
"3","Radioactive","Imagine Dragons","Night Visions","['modern rock', 'rock']","76","93","0.448","0.236","0.784","136.245","-3.686","0.0627","0.000108","0.668","0.106"
"4","Wake Me Up","Avicii","True","['dance pop', 'edm', 'pop', 'pop dance']","6","85","0.532","0.643","0.783","124.08","-5.697","0.0523","0.0012","0.161","0.0038"
"5","Locked out of Heaven","Bruno Mars","Unorthodox Jukebox","['dance pop', 'pop']","85","92","0.726","0.867","0.698","143.994","-4.165","0.0431","0.0","0.309","0.049"
"6","Thrift Shop (feat. Wanz)","Macklemore & Ryan Lewis","The Heist (Deluxe Edition)","['dance pop', 'pop', 'pop rap', 'seattle hip hop']","1","77","0.781","0.662","0.526","94.992","-6.985","0.293","0.0","0.0457","0.0619"
"7","Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit","Daft Punk","Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit]","['electro', 'filter house']","83","84","0.794","0.862","0.811","116.047","-8.966","0.038","1.07e-06","0.101","0.0426"
"8","Beauty And A Beat","Justin Bieber","Believe (Deluxe Edition)","['canadian pop', 'pop']","72","96","0.602","0.526","0.843","128.003","-4.831","0.0593","5.27e-05","0.0682","0.000688"
"9","Heart Attack","Demi Lovato","Demi","['dance pop', 'pop', 'post-teen pop']","79","85","0.504","0.502","0.785","173.968","-4.802","0.104","0.0","0.239","0.0738"
"10","Best Song Ever","One Direction","Midnight Memories (Deluxe)","['boy band', 'pop', 'post-teen pop', 'talent show']","76","89","0.652","0.486","0.877","118.491","-2.986","0.0465","0.0","0.0789","0.0227"
"11","Still into You","Paramore","Paramore","['candy pop', 'pixie', 'pop emo', 'pop punk']","79","81","0.602","0.765","0.923","136.01","-3.763","0.044","0.0","0.0561","0.0098"
"12","Feel This Moment (feat. Christina Aguilera)","Pitbull","Global Warming: Meltdown (Deluxe Version)","['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']","77","87","0.673","0.542","0.758","135.956","-3.632","0.158","0.0","0.341","0.039"
"13","I Knew You Were Trouble.","Taylor Swift","Red (Big Machine Radio Release Special)","['pop']","76","98","0.622","0.679","0.469","77.019","-6.798","0.0363","2.25e-06","0.0335","0.00454"
"14","Sweater Weather","The Neighbourhood","I Love You.","['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']","89","89","0.612","0.398","0.807","124.053","-2.81","0.0336","0.0177","0.101","0.0495"
"15","True Love (feat. Lily Allen)","P!nk","The Truth About Love","['dance pop', 'pop']","71","84","0.457","0.578","0.823","192.205","-4.76","0.311","0.0","0.108","0.00144"
"16","Mirrors","Justin Timberlake","The 20/20 Experience (Deluxe Version)","['dance pop', 'pop']","77","83","0.574","0.512","0.512","76.899","-6.664","0.0503","0.0","0.0946","0.234"
"17","Unconditionally","Katy Perry","PRISM (Deluxe)","['dance pop', 'pop', 'post-teen pop']","0","88","0.555","0.369","0.729","129.003","-4.813","0.0387","0.0","0.209","0.00357"
"18","Clarity","Zedd","Clarity (Deluxe)","['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']","0","80","0.523","0.193","0.78","128.006","-3.464","0.0753","0.0","0.0751","0.0366"
"19","22","Taylor Swift","Red (Big Machine Radio Release Special)","['pop']","68","98","0.661","0.668","0.729","103.987","-6.561","0.0376","0.0013","0.0477","0.00215"
"20","Ready or Not","Bridgit Mendler","Hello My Name Is...","['dance pop', 'pop', 'post-teen pop']","72","67","0.715","0.748","0.872","93.043","-3.835","0.0509","3.84e-05","0.107","0.00351"
"21","Pompeii","Bastille","All This Bad Blood","['metropopolis', 'modern rock', 'pop', 'pop rock']","74","80","0.679","0.571","0.715","127.435","-6.383","0.0407","0.0","0.271","0.0755"
"22","Safe And Sound","Capital Cities","Safe And Sound","['metropopolis']","0","71","0.652","0.836","0.783","117.952","-4.829","0.0309","0.0173","0.0889","0.000189"
"23","Team","Lorde","Pure Heroine (Extended)","['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop']","0","82","0.691","0.427","0.582","100.05","-7.444","0.0939","0.0","0.247","0.162"
"24","Why'd You Only Call Me When You're High?","Arctic Monkeys","AM","['garage rock', 'permanent wave', 'rock', 'sheffield indie']","84","88","0.691","0.8","0.631","92.004","-6.478","0.0368","1.13e-05","0.104","0.0483"
"25","We Can't Stop","Miley Cyrus","Bangerz (Deluxe Version)","['dance pop', 'pop', 'post-teen pop']","77","87","0.613","0.484","0.622","80.003","-5.794","0.0334","0.0","0.37","0.00882"
"26","Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis","The Heist","['dance pop', 'pop', 'pop rap', 'seattle hip hop']","81","77","0.641","0.847","0.922","146.078","-4.457","0.0786","0.0","0.0862","0.0291"
"27","The Other Side","Jason Derulo","Tattoos (Deluxe Edition)","['dance pop', 'pop', 'pop rap', 'post-teen pop']","50","85","0.561","0.517","0.836","127.923","-3.939","0.1","0.0","0.136","0.0525"
"28","The Way","Ariana Grande","Yours Truly","['dance pop', 'pop']","65","93","0.645","0.862","0.878","82.324","-3.208","0.113","0.0","0.076","0.294"
"29","Treasure","Bruno Mars","Unorthodox Jukebox","['dance pop', 'pop']","78","92","0.874","0.937","0.692","116.017","-5.28","0.0431","7.24e-05","0.324","0.0412"
"30","The Monster","Eminem","The Marshall Mathers LP2","['detroit hip hop', 'hip hop', 'rap']","75","95","0.781","0.624","0.853","110.049","-3.68","0.0715","0.0","0.12","0.0525"
"31","Here's to Never Growing Up","Avril Lavigne","Here's to Never Growing Up","['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']","0","81","0.483","0.716","0.871","164.986","-3.084","0.101","0.0","0.415","0.015"
"32","Scream & Shout","will.i.am","#willpower","['dance pop', 'pop', 'pop rap']","78","78","0.772","0.501","0.685","130.033","-6.849","0.0696","8.96e-05","0.131","0.019"
"33","La La La","Naughty Boy","La La La","['tropical house', 'uk contemporary r&b']","58","66","0.754","0.254","0.677","124.988","-4.399","0.0316","0.0","0.111","0.112"
"34","Roar","Katy Perry","PRISM (Deluxe)","['dance pop', 'pop', 'post-teen pop']","72","88","0.554","0.455","0.772","179.984","-4.821","0.0418","6.6e-06","0.354","0.00487"
"35","I Love It (feat. Charli XCX)","Icona Pop","THIS IS... ICONA POP","['candy pop', 'dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'pop dance', 'swedish electropop', 'swedish synthpop']","68","71","0.711","0.824","0.906","125.916","-2.671","0.0284","1.64e-05","0.153","0.00952"
"36","Everything Has Changed","Taylor Swift","Red (Big Machine Radio Release Special)","['pop']","66","98","0.624","0.436","0.458","80.016","-6.755","0.0287","3.89e-06","0.311","0.36"
